round,lr,weight_decay,momentum,model,norm,independence,balancement,loss,accuracy
32,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5301544938405356,0.10000000000000002
32,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6299977111816406,0.10000000000000002
33,0.1,0.001,0,ResNet50,BN,iid,balanced,1.0629191426436106,0.6823
33,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.6007272756099704,0.09796666666666666
33,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.570705943107605,0.10000000000000002
33,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8520541384855906,0.315
33,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.442161271349589,0.10406666666666668
33,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.5583891956011455,0.10000000000000002
34,0.1,0.001,0,ResNet50,BN,iid,balanced,1.12129592359066,0.6735666666666668
34,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.750535459518433,0.10446666666666667
34,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
34,0.1,0.001,0,ResNet50,GN,iid,balanced,1.850251700115204,0.31316666666666665
34,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5203571491559345,0.11143333333333334
34,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6585760696729026,0.10000000000000002
35,0.1,0.001,0,ResNet50,BN,iid,balanced,1.016608974734942,0.694
35,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.6961355423927307,0.09953333333333332
35,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
35,0.1,0.001,0,ResNet50,GN,iid,balanced,1.842455965503057,0.3159666666666667
35,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5105963572184247,0.10293333333333332
35,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6078635064760847,0.10013333333333334
36,0.1,0.001,0,ResNet50,BN,iid,balanced,1.0444143001238506,0.6940666666666667
36,0.1,0.001,0,ResNet50,BN,noniid,balanced,3.379416508674621,0.10023333333333333
36,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
36,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8397080808321633,0.3182666666666667
36,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5147329984982814,0.10143333333333333
36,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6604420256614687,0.10000000000000002
37,0.1,0.001,0,ResNet50,BN,iid,balanced,1.0202063930034637,0.7033666666666667
37,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
37,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
37,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8300941012382506,0.3212
37,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.49230966386795,0.10066666666666668
37,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.5755226651827496,0.09906666666666668
38,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9974319265286127,0.7088333333333333
38,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.646406396627426,0.10170000000000001
38,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,3.0703842306137084,0.09996666666666669
38,0.1,0.001,0,ResNet50,GN,iid,balanced,1.822869926261902,0.32693333333333335
38,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4947420961697895,0.10596666666666665
38,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.7886194435755414,0.10370000000000001
39,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9863084675868352,0.7146333333333333
39,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.438231539726257,0.10046666666666666
39,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.797525289058685,0.10000000000000002
39,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8107424513657886,0.3280666666666667
39,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4669737713495894,0.10000000000000002
39,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.584565552075704,0.1028
40,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9818339614073436,0.7148666666666667
40,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.8775304520130156,0.11320000000000001
40,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,3.4441151928901674,0.10000000000000002
40,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8077899655977887,0.33266666666666667
40,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.701985158507029,0.10253333333333332
40,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.8490055123964946,0.10049999999999999
41,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9937835663557054,0.7169333333333334
41,0.1,0.001,0,ResNet50,BN,noniid,balanced,3.0687472009658814,0.1055
41,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.7259117221832274,0.10976666666666668
41,0.1,0.001,0,ResNet50,GN,iid,balanced,1.7963960730075836,0.3369333333333333
41,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.6322217319170633,0.12413333333333332
41,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6615317940711978,0.10253333333333332
42,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9800719632705053,0.7245666666666667
42,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.8875971615314486,0.10003333333333335
42,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,3.192611734867096,0.10000000000000002
42,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8060561304569245,0.3364
42,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5226863747278845,0.10000000000000002
42,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.716668819586436,0.10010000000000001
43,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9478498490651449,0.7351333333333333
43,0.1,0.001,0,ResNet50,BN,noniid,balanced,3.0177151107788087,0.10973333333333335
43,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.4615844035148626,0.11543333333333333
43,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8022472599983217,0.3345
43,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.7124655824343367,0.11936666666666666
43,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.55812784910202,0.10000000000000002
44,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9469186941782635,0.7366333333333333
44,0.1,0.001,0,ResNet50,BN,noniid,balanced,3.0948185217380524,0.0992
44,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.7247050583362578,0.0994
44,0.1,0.001,0,ResNet50,GN,iid,balanced,1.7833578099250793,0.34463333333333335
44,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5872006943384807,0.10656666666666666
44,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.641699730555217,0.10006666666666668
45,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9433678819735846,0.7424333333333334
45,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.879693865776062,0.10063333333333334
45,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.650873291492462,0.10000000000000002
45,0.1,0.001,0,ResNet50,GN,iid,balanced,1.7856135194301606,0.34273333333333333
45,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.6578964124679563,0.12273333333333332
45,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6529139264424644,0.10016666666666667
46,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9296965727210044,0.7423000000000001
46,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.608658207654953,0.10426666666666666
46,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.437637903690338,0.10000000000000002
46,0.1,0.001,0,ResNet50,GN,iid,balanced,1.7706690544287362,0.34500000000000003
46,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5185407995224,0.11853333333333334
46,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.5565728584925336,0.10006666666666668
47,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9400248988469442,0.7439
47,0.1,0.001,0,ResNet50,BN,noniid,balanced,3.2036743275324504,0.10023333333333333
47,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.507190854549408,0.09989999999999999
47,0.1,0.001,0,ResNet50,GN,iid,balanced,1.7679253498713177,0.35096666666666665
47,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.478013087590535,0.12373333333333332
47,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.752601570288341,0.10100000000000002
48,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9062012522419294,0.7541000000000001
48,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.775870881080628,0.1009
48,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.486764466762543,0.10010000000000001
48,0.1,0.001,0,ResNet50,GN,iid,balanced,1.7482357241471609,0.35633333333333334
48,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.402386115455627,0.12596666666666667
48,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.5703079295158386,0.10020000000000001
49,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9172246924042703,0.7525333333333334
49,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.802846748828888,0.09989999999999999
49,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.4387440347671507,0.09996666666666669
49,0.1,0.001,0,ResNet50,GN,iid,balanced,1.7397390165011088,0.3556333333333333
49,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.636370257504781,0.10030000000000001
49,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6767462611198423,0.10070000000000001
50,0.1,0.001,0,ResNet50,BN,iid,balanced,0.9006567764282226,0.7569333333333333
50,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.8385359001159673,0.10033333333333334
50,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.7683025097846983,0.1008
50,0.1,0.001,0,ResNet50,GN,iid,balanced,1.736640887260437,0.3588
50,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.439055910650889,0.11156666666666666
50,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6553089253107705,0.11226666666666667
